"sexo","idade","ano","previsto","inferior","superior","observado"
"Ambos",55,2016,0.00844710741150089,0.00811573299830045,0.0087920122108965,0.0085739829208881
"Ambos",60,2016,0.0122103113423185,0.0114837680515395,0.0129828208308651,0.0127050233325653
"Ambos",65,2016,0.0183094976894849,0.0178695831843149,0.0187602420371791,0.0187762112220789
"Ambos",70,2016,0.0270903909368435,0.0257075195994429,0.0285476503585712,0.0270010199312401
"Ambos",75,2016,0.0432460015854294,0.0425178098393365,0.0439866648868794,0.0438231805970066
"Ambos",80,2016,0.0761539818364613,0.0713017729020323,0.0813363919788701,0.0717859630185064
"Ambos",85,2016,0.124519943514787,0.117513630614839,0.13194398174749,0.120666463901105
"Ambos",90,2016,0.194300264919094,0.191443669995708,0.197199484049154,0.1983476136475
"Ambos",0,2017,0.00996211436576988,0.00960517606424873,0.0103323168646613,0.012863715851619
"Ambos",1,2017,0.000458883880133253,0.000387745405616678,0.000543073914986171,0.000521083656793392
"Ambos",5,2017,0.000233291713199743,0.000228854678424011,0.00023781477321095,0.000224941561485341
"Ambos",10,2017,0.000336414574086963,0.000290058413231095,0.000390179220790069,0.00030549625760623
"Ambos",15,2017,0.00123917099518846,0.00115204803726324,0.00133288257576839,0.00128021518482542
"Ambos",20,2017,0.00172824505358852,0.00157871928888631,0.00189193290173847,0.00171512945491359
"Ambos",25,2017,0.00174615766203083,0.00157655275073163,0.00193400860152253,0.00163202672975874
"Ambos",30,2017,0.00190215910640534,0.00165717361491844,0.00218336161854642,0.00174428604743515
"Ambos",35,2017,0.00222122032903537,0.00194538697825247,0.00253616365549646,0.0021204861400715
"Ambos",40,2017,0.00292393754756507,0.00255021702747973,0.00335242478970892,0.00280809373275127
"Ambos",45,2017,0.00410610202209907,0.00366700557417238,0.00459777698038849,0.00396083809869948
"Ambos",50,2017,0.00575327320705541,0.00554690847546831,0.00596731544091811,0.00575135191609925
"Ambos",55,2017,0.00827480522661833,0.00791123020584782,0.00865508900093145,0.00838941690311158
"Ambos",60,2017,0.0119554964960736,0.0111443965907868,0.0128256290327817,0.0125794312033981
"Ambos",65,2017,0.017947603318581,0.017475800586213,0.0184321435399798,0.0185197840392794
"Ambos",70,2017,0.0267066096485168,0.0252045534904487,0.0282981802946256,0.0265915836765864
"Ambos",75,2017,0.0426295520113884,0.0419095684810627,0.0433619044661085,0.0432529318596678
"Ambos",80,2017,0.0761539818364613,0.0708551528137074,0.0818490782850465,0.0710435754189944
"Ambos",85,2017,0.124519943514787,0.116865905220843,0.132675276879302,0.118452282287798
"Ambos",90,2017,0.194300264919094,0.191443669981529,0.197199484063759,0.19793032230377
"Ambos",0,2018,0.0093601485805537,0.00902477837524552,0.00970798149352426,0.0125961118672796
"Ambos",1,2018,0.000438521183885951,0.000357036674018007,0.000538602453783327,0.000512628272294209
"Ambos",5,2018,0.000226733584705366,0.00022242127960668,0.000231129496801086,0.00022241249852167
"Ambos",10,2018,0.000333818536812869,0.000277799355836314,0.000401134175363404,0.000295022901989037
"Ambos",15,2018,0.00123917099518846,0.0011453386309267,0.00134069061660301,0.00119487559111281
"Ambos",20,2018,0.00172824505358852,0.00156731443008708,0.0019056999080186,0.00165201727527514
"Ambos",25,2018,0.00174615766203083,0.00156369895847227,0.00194990638328998,0.00157151250787609
"Ambos",30,2018,0.00189067019486414,0.00159347502272576,0.00224329451969252,0.00169393646145791
