sexo,idade,ano,previsto,observado
Mulheres,80,2016,0.06335592713546806,0.0633300542074554
Mulheres,85,2016,0.11211156053539366,0.111580109134992
Mulheres,90,2016,0.188189346171104,0.190299559143387
Mulheres,0,2017,0.010522191200147066,0.0118457403996224
Mulheres,1,2017,4.762487375962467e-4,4.906802113217e-4
Mulheres,5,2017,2.0125672747272e-4,1.9698284661569e-4
Mulheres,10,2017,2.4256314707366667e-4,2.4412719370633e-4
Mulheres,15,2017,4.4306653452832e-4,4.5535743860288e-4
Mulheres,20,2017,5.7332126877582e-4,5.5760935075289e-4
Mulheres,25,2017,6.815995422517967e-4,6.5682042642084e-4
Mulheres,30,2017,8.9706445004938e-4,8.8530008267802e-4
Mulheres,35,2017,0.0013133753201629134,0.00126506929479191
Mulheres,40,2017,0.0018661112612948334,0.00184222125357385
Mulheres,45,2017,0.002734385965423873,0.00272302739757205
Mulheres,50,2017,0.004042695258533413,0.00402321274511456
Mulheres,55,2017,0.006069801703624966,0.00599354483113515
Mulheres,60,2017,0.009144110608586617,0.00922338322135395
Mulheres,65,2017,0.0141157587829484,0.0141235800508043
Mulheres,70,2017,0.020657907468624667,0.0205736387689359
Mulheres,75,2017,0.036084961452715135,0.035936673507818
Mulheres,80,2017,0.06278908563732387,0.0625697982042192
Mulheres,85,2017,0.11085693394179567,0.109264525517984
Mulheres,90,2017,0.18670194334044501,0.188929447183116
Mulheres,0,2018,0.009818705148575123,0.0115660615701648
Mulheres,1,2018,4.6746960623092e-4,4.7500172266825e-4
Mulheres,5,2018,1.9765218647996335e-4,1.9550527031391e-4
Mulheres,10,2018,2.3921350930854667e-4,2.3996072539845e-4
Mulheres,15,2018,4.3599463232612667e-4,4.4661736162585e-4
Mulheres,20,2018,5.734950912790433e-4,5.5612430851195e-4
Mulheres,25,2018,6.781565055457133e-4,6.4471959820997e-4
Mulheres,30,2018,8.832646164892967e-4,8.687243514695e-4
Mulheres,35,2018,0.0013084586806715334,0.00123483820321334
Mulheres,40,2018,0.0018508895238997334,0.00179901836688201
Mulheres,45,2018,0.0026977288125176733,0.00265208163112524
Mulheres,50,2018,0.00398199284798454,0.00392767109644891
Mulheres,55,2018,0.00599606696479619,0.00586148485455785
Mulheres,60,2018,0.009049121330100654,0.00910904821087955
Mulheres,65,2018,0.013923949505354801,0.0139593239896324
Mulheres,70,2018,0.020424561819908035,0.0202665618718869
Mulheres,75,2018,0.0357385254362577,0.0354036264134805
Mulheres,80,2018,0.062247919362713934,0.06206141626521
Mulheres,85,2018,0.10971624894549534,0.108082008616847
Mulheres,90,2018,0.18753363383553168,0.189484833941721
Mulheres,0,2019,0.009083506072604997,0.0111103224066213
Mulheres,1,2019,4.6009096431425e-4,4.5360873187165e-4
Mulheres,5,2019,1.9426082667246667e-4,1.9979483585455e-4
Mulheres,10,2019,2.3642875900827334e-4,2.3598094242949e-4
Mulheres,15,2019,4.3369178079278334e-4,4.3494563935497e-4
Mulheres,20,2019,5.703558783973233e-4,5.6319635797292e-4
Mulheres,25,2019,6.748028612505533e-4,6.4903775830651e-4
Mulheres,30,2019,8.715839619097066e-4,8.6696818259734e-4
Mulheres,35,2019,0.0013041130287141866,0.00122439416012776
Mulheres,40,2019,0.0018291998223765934,0.00179304912418174
Mulheres,45,2019,0.0026605539635337233,0.00262000457348761
Mulheres,50,2019,0.003922414222637057,0.00387039092366506
Mulheres,55,2019,0.005925925508068067,0.0058013197946986
Mulheres,60,2019,0.008947627613067943,0.00902671271826711
Mulheres,65,2019,0.013737851039484966,0.0139665044856012
Mulheres,70,2019,0.02019990757430227,0.0200358084091665
Mulheres,75,2019,0.035388040113135934,0.0350597318216265
Mulheres,80,2019,0.061719775884286766,0.0618696550980123
Mulheres,85,2019,0.108921384625643,0.108013218777689
Mulheres,90,2019,0.18818215819368733,0.189993298255459
